startValue,endValue,quantity,gids
3350000,3359999,0,[]
3360000,3369999,0,[]
3370000,3379999,0,[]
3380000,3389999,0,[]
3390000,3399999,0,[]
3400000,3409999,0,[]
3410000,3419999,0,[]
3420000,3429999,0,[]
3430000,3439999,0,[]
3440000,3449999,0,[]
3450000,3459999,0,[]
3460000,3469999,0,[]
3470000,3479999,0,[]
3480000,3489999,0,[]
3490000,3499999,0,[]
3500000,3509999,0,[]
3510000,3519999,0,[]
3520000,3529999,0,[]
3530000,3539999,0,[]
3540000,3549999,0,[]
3550000,3559999,0,[]
3560000,3569999,0,[]
3570000,3579999,0,[]
3580000,3589999,0,[]
3590000,3599999,0,[]
3600000,3609999,0,[]
3610000,3619999,0,[]
3620000,3629999,0,[]
3630000,3639999,0,[]
3640000,3649999,0,[]
3650000,3659999,0,[]
3660000,3669999,0,[]
3670000,3679999,0,[]
3680000,3689999,0,[]
3690000,3699999,0,[]
3700000,3709999,0,[]
3710000,3719999,0,[]
3720000,3729999,0,[]
3730000,3739999,0,[]
3740000,3749999,0,[]
3750000,3759999,0,[]
3760000,3769999,0,[]
3770000,3779999,0,[]
3780000,3789999,0,[]
3790000,3799999,0,[]
3800000,3809999,0,[]
3810000,3819999,1,"['04013', 3817117.0, 'Maricopa County, Arizona']"
3820000,3829999,0,[]
3830000,3839999,0,[]
3840000,3849999,0,[]
3850000,3859999,0,[]
3860000,3869999,0,[]
3870000,3879999,0,[]
3880000,3889999,0,[]
3890000,3899999,0,[]
3900000,3909999,0,[]
3910000,3919999,0,[]
3920000,3929999,0,[]
3930000,3939999,0,[]
3940000,3949999,0,[]
3950000,3959999,0,[]
3960000,3969999,0,[]
3970000,3979999,0,[]
3980000,3989999,0,[]
3990000,3999999,0,[]
4000000,4009999,0,[]
4010000,4019999,0,[]
4020000,4029999,0,[]
4030000,4039999,0,[]
4040000,4049999,0,[]
4050000,4059999,0,[]
4060000,4069999,0,[]
4070000,4079999,0,[]
4080000,4089999,0,[]
4090000,4099999,1,"['48201', 4092459.0, 'Harris County, Texas']"
4100000,4109999,0,[]
4110000,4119999,0,[]
4120000,4129999,0,[]
4130000,4139999,0,[]
4140000,4149999,0,[]
4150000,4159999,0,[]
4160000,4169999,0,[]
4170000,4179999,0,[]
