startValue,endValue,quantity
32650,32699,0
32700,32749,1
32750,32799,2
32800,32849,4
32850,32899,4
32900,32949,3
32950,32999,2
33000,33049,3
33050,33099,1
33100,33149,2
33150,33199,2
33200,33249,1
33250,33299,1
33300,33349,1
33350,33399,2
33400,33449,2
33450,33499,3
33500,33549,1
33550,33599,0
33600,33649,1
33650,33699,1
33700,33749,4
33750,33799,1
33800,33849,1
33850,33899,1
33900,33949,2
33950,33999,7
34000,34049,2
34050,34099,0
34100,34149,0
34150,34199,0
34200,34249,2
34250,34299,1
34300,34349,2
34350,34399,2
34400,34449,0
34450,34499,0
34500,34549,2
34550,34599,1
34600,34649,5
34650,34699,1
34700,34749,2
34750,34799,1
34800,34849,0
34850,34899,4
34900,34949,1
34950,34999,5
35000,35049,1
35050,35099,3
35100,35149,0
35150,35199,2
35200,35249,0
35250,35299,3
35300,35349,0
35350,35399,0
35400,35449,1
35450,35499,2
35500,35549,0
35550,35599,1
35600,35649,0
35650,35699,1
35700,35749,1
35750,35799,2
35800,35849,1
35850,35899,2
35900,35949,1
35950,35999,3
36000,36049,2
36050,36099,1
36100,36149,2
36150,36199,0
36200,36249,0
36250,36299,3
36300,36349,1
36350,36399,3
36400,36449,2
36450,36499,1
36500,36549,2
36550,36599,2
36600,36649,3
36650,36699,2
36700,36749,1
36750,36799,2
36800,36849,0
36850,36899,0
36900,36949,2
36950,36999,3
37000,37049,4
37050,37099,0
37100,37149,2
37150,37199,3
37200,37249,0
37250,37299,1
37300,37349,0
37350,37399,0
37400,37449,1
37450,37499,1
37500,37549,2
37550,37599,2
37600,37649,1
37650,37699,1
37700,37749,4
37750,37799,0
37800,37849,1
37850,37899,0
37900,37949,1
37950,37999,0
38000,38049,0
38050,38099,0
38100,38149,0
38150,38199,1
38200,38249,1
38250,38299,2
38300,38349,1
38350,38399,0
38400,38449,1
38450,38499,0
38500,38549,1
38550,38599,0
38600,38649,1
38650,38699,1
38700,38749,1
38750,38799,3
38800,38849,0
38850,38899,0
38900,38949,3
38950,38999,2
39000,39049,2
39050,39099,1
39100,39149,0
39150,39199,2
39200,39249,3
39250,39299,0
39300,39349,2
39350,39399,1
39400,39449,0
